"2","MUSELÍN","43.560470142881606","-5.7025889301576544"
"3","CHALETS","43.53069904320166","-5.629483130510281"
"4","CONTROL","43.55852622933481","-5.701028675881393"
"5","PORTUARIOS","43.55425302050395","-5.699735867786214"
"7","CAMINO DE LA IGLESIA","43.54953533542223","-5.698200594176129"
"8","CASA DEL MAR","43.54356750968015","-5.693552535643982"
"9","CUATRO CAMINOS","43.54173099625166","-5.689720400912346"
"10","SANTA OLAYA","43.542146400081265","-5.686223713495313"
"11","PLAZA DE LA LUZ","43.542178725589054","-5.680630581654491"
"12","REVILLAGIGEDO","43.54196658808483","-5.677774391672971"
"13","ACUARIO","43.54137373820916","-5.6754088427010165"
"14","MUSEO DEL FERROCARRIL","43.54298537562871","-5.670021670498738"
"15","PEDRO DURO","43.543814504126395","-5.666518265501082"
"16","F.E.V.E.","43.54304342475023","-5.665221745351012"
"17","GOTA DE LECHE (LADO MAGNUS BLIKSTAD)","43.54120912846181","-5.665116129270347"
"18","BEGOÑA","43.538931776925715","-5.659681386510537"
"19","CABRALES","43.5379539983324","-5.65681653354808"
"20","RECONQUISTA","43.53763283943437","-5.654364262721773"
"21","RAMÓN Y CAJAL","43.53732894340133","-5.651553859724658"
"22","CODEMA","43.53719737344412","-5.647909440733187"
"23","ESTACIÓN DE SERVICIO VIESQUES","43.5350849872616","-5.6446487076601635"
"25","VIESQUES","43.531913505082265","-5.643185867781697"
"26","AULARIO","43.52574990774476","-5.625048454143918"
"27","ESCUELA POLITECNICA DE INGENIERIA","43.52534043748864","-5.633061373217384"
"28","ESCUELA DE MARINA","43.527512115573","-5.627117202356248"
"29","INTRA","43.52658023620192","-5.622609646426944"
"30","JARDÍN BOTÁNICO","43.52364961944363","-5.6145511235457555"
"31","PARQUE TECNOLÓGICO","43.52522234456511","-5.612317544253788"
"33","TANATORIO","43.52620406025081","-5.6083630948124075"
"34","HOSPITAL DE CABUEÑES","43.52681330832036","-5.606916828694089"
"35","TANATORIO","43.52623213761174","-5.608710781193862"
"36","UNIVERSIDAD LABORAL","43.52597937664155","-5.611892394107193"
"38","JARDÍN BOTÁNICO","43.523776679096464","-5.614507120140887"
"39","INTRA","43.52669745247694","-5.622602354067901"
"40","ESCUELA DE MARINA","43.52754543447113","-5.627625999522726"
"41","ESCUELA POLITECNICA DE INGENIERIA","43.5263442428732","-5.635604642487032"
"42","ÁLAVA","43.52705988243892","-5.675320135038719"
"43","VIESQUES","43.53117266844569","-5.642905988868603"
"44","FEIJOO","43.53511569133722","-5.644489163263017"
"45","PINTOR MAROLA","43.53744096510758","-5.645556213107186"
"46","CONTINENTAL","43.5390479030219","-5.648869227014514"
"47","LOS CAMPOS","43.539400475805685","-5.652300672486703"
"48","PARQUE COCHERAS","43.5381927408124","-5.646529723633643"
"49","BEGOÑA","43.539026111343986","-5.659883563693424"
"50","GOTA DE LECHE (LADO LLANES)","43.5409657007097","-5.66513015310832"
"51","HUMEDAL (LADO SEMÁFORO)","43.5412978656451","-5.664785856693575"
"53","PEDRO DURO","43.5446572883097","-5.665899412179464"
"54","PLAYA DE PONIENTE","43.54357839359819","-5.669688909333972"
"55","ACUARIO","43.54239901556228","-5.673919414762746"
"56","REVILLAGIGEDO","43.542172911602314","-5.679343078040835"
"57","NATAHOYO","43.54243694362063","-5.682288227393362"
"58","SANTA OLAYA","43.542141457855514","-5.68643390892027"
"59","CUATRO CAMINOS","43.54168913431629","-5.690733473764802"
"60","CASA DEL MAR","43.544466892690544","-5.693976321634042"
"61","CAMINO DE LA IGLESIA","43.548750617562796","-5.697497113681041"
"62","JOP","43.55055028100255","-5.697924048480803"
"63","PORTUARIOS","43.554495571725454","-5.699759083621908"
"64","CONTROL","43.558548018743366","-5.700868700672242"
"65","MUSELÍN","43.5605267410359","-5.702480031835241"
"66","EDIFICIO DE ENERGÍA","43.52509455699067","-5.621827552268586"
"67","C/ SEVERO OCHOA (CENTRO COMERCIAL)","43.52713249267507","-5.676833008949204"
"68","RÍO EO","43.52652101402103","-5.674108383197649"
"69","LA MANCHA","43.525426693107455","-5.671622342793111"
"70","GASPAR GARCÍA LAVIANA","43.527804373787404","-5.671207631519505"
"71","IGLESIA DE SAN MIGUEL","43.529072556272595","-5.670880022236484"
"72","SORIA","43.53139944591507","-5.670326894372398"
"73","AVDA. CONSTITUCIÓN (REY PELAYO)","43.53329355491608","-5.670955051034227"
"74","MANUEL LLANEZA","43.53658189397086","-5.667016139886076"
"75","PRENDES PANDO","43.53831059846779","-5.665087382098454"
"76","HUMEDAL (LADO CABINA)","43.54103587216797","-5.664823817854573"
"77","PLAZA DEL CARMEN","43.54382157051698","-5.663127084735334"
"78","EL PARCHIS","43.54350516149066","-5.6604767077761124"
"79","CAPUA","43.543376634295434","-5.657488044869559"
"82","LUCIANO CASTAÑÓN","43.54044260122479","-5.65201220763935"
"83","PLAZA DE TOROS","43.53693044064158","-5.645051201484352"
"84","LA ASUNCIÓN","43.53608577644738","-5.642254377100608"
"85","LAS MESTAS","43.53591334958813","-5.637246898144264"
"86","PLAZOLETA DE LA GUÍA","43.535431013806004","-5.6320031890904945"
"87","PROFESOR PÉREZ PIMENTEL","43.534902424670264","-5.626411028575572"
"88","DIONISIO CIFUENTES","43.53739451459913","-5.62179147739011"
"89","PLAZA VILLAMANÍN","43.53603868530747","-5.619665879439261"
"90","IGLESIA DE SAN JULIÁN","43.53743580017592","-5.62195416091868"
"91","PROFESOR PÉREZ PIMENTEL","43.53499095133202","-5.62647675289758"
"92","EL MOLINON","43.53604577755929","-5.63462893383446"
