"0","1","180","0"
"1","1","181","1"
"2","1","141","2"
"3","1","136","3"
"4","1","137","4"
"5","1","8","5"
"6","1","9","6"
"7","1","10","7"
"8","1","138","8"
"9","1","214","9"
"10","1","714","10"
"11","1","13","11"
"12","1","14","12"
"13","1","15","13"
"14","1","16","14"
"15","1","17","15"
"16","1","18","16"
"17","1","753","17"
"18","1","21","18"
"19","1","22","19"
"20","1","83","20"
"21","1","84","21"
"22","1","85","22"
"23","1","206","23"
"24","1","3","24"
"25","1","363","25"
"26","1","29","26"
"27","1","30","27"
"28","1","31","28"
"29","1","33","29"
"30","1","34","30"
"31","2","538","0"
"32","2","155","1"
"33","2","527","2"
"34","2","528","3"
"35","2","393","4"
"36","2","399","5"
"37","2","121","6"
"38","2","220","7"
"39","2","221","8"
"40","2","222","9"
"41","2","127","10"
"42","2","128","11"
"43","2","129","12"
"44","2","529","13"
"45","2","530","14"
"46","2","531","15"
"47","2","163","16"
"48","2","164","17"
"49","2","165","18"
"50","2","25","19"
"51","2","596","20"
"52","2","27","21"
"53","2","28","22"
"54","2","192","23"
"55","2","193","24"
"56","2","30","25"
"57","2","31","26"
"58","2","33","27"
"59","2","34","28"
"60","4","660","0"
"61","4","657","1"
"62","4","658","2"
"63","4","709","3"
"64","4","710","4"
"65","4","136","5"
"66","4","137","6"
"67","4","8","7"
"68","4","9","8"
"69","4","10","9"
"70","4","138","10"
"71","4","214","11"
"72","4","714","12"
"73","4","13","13"
"74","4","14","14"
"75","4","15","15"
"76","4","139","16"
"77","4","140","17"
"78","4","78","18"
"79","4","79","19"
"80","4","737","20"
"81","4","82","21"
"82","4","21","22"
"83","4","22","23"
"84","4","83","24"
"85","4","84","25"
"86","4","85","26"
"87","6","2","0"
"88","6","4","1"
"89","6","5","2"
"90","6","756","3"
"91","6","270","4"
"92","6","7","5"
"93","6","8","6"
"94","6","9","7"
"95","6","10","8"
"96","6","11","9"
"97","6","12","10"
"98","6","13","11"
"99","6","14","12"
"100","6","15","13"
"101","6","16","14"
"102","6","50","15"
"103","6","168","16"
"104","6","169","17"
"105","6","170","18"
"106","6","171","19"
"107","6","172","20"
"108","6","173","21"
"109","6","174","22"
"110","6","264","23"
"111","6","265","24"
"112","6","266","25"
"113","6","702","26"
"114","6","512","27"
"115","6","513","28"
"116","6","514","29"
"117","6","515","30"
"118","6","516","31"
"119","6","701","32"
"120","6","694","33"
"121","6","725","34"
"122","6","606","35"
"123","10","67","0"
"124","10","42","1"
"125","10","68","2"
"126","10","69","3"
"127","10","70","4"
"128","10","71","5"
"129","10","72","6"
"130","10","73","7"
"131","10","74","8"
"132","10","75","9"
"133","10","76","10"
"134","10","77","11"
"135","10","78","12"
"136","10","79","13"
"137","10","737","14"
"138","10","82","15"
"139","10","142","16"
"140","10","144","17"
"141","10","716","18"
"142","10","84","19"
"143","10","85","20"
"144","10","86","21"
"145","10","87","22"
"146","10","88","23"
"147","10","89","24"
"148","12","110","0"
"149","12","495","1"
"150","12","541","2"
"151","12","111","3"
"152","12","112","4"
"153","12","9","5"
"154","12","10","6"
"155","12","11","7"
"156","12","12","8"
"157","12","13","9"
"158","12","14","10"
"159","12","15","11"
"160","12","16","12"
"161","12","50","13"
"162","12","113","14"
"163","12","114","15"
"164","12","115","16"
"165","12","116","17"
"166","12","117","18"
"167","12","118","19"
"168","12","119","20"
"169","12","391","21"
"170","12","393","22"
"171","12","399","23"
"172","12","121","24"
"173","14","405","0"
"174","14","286","1"
"175","14","281","2"
"176","14","584","3"
"177","14","585","4"
"178","14","586","5"
"179","14","287","6"
"180","14","698","7"
"181","14","699","8"
"182","14","291","9"
"183","14","292","10"
"184","14","293","11"
"185","14","294","12"
"186","14","295","13"
"187","14","296","14"
"188","14","157","15"
"189","14","73","16"
"190","14","74","17"
"191","14","75","18"
"192","14","131","19"
"193","14","386","20"
"194","14","77","21"
"195","14","78","22"
"196","14","79","23"
"197","14","737","24"
"198","14","82","25"
"199","14","142","26"
"200","14","144","27"
"201","14","229","28"
"202","14","700","29"
"203","14","396","30"
"204","14","372","31"
"205","14","498","32"
"206","14","454","33"
"207","14","455","34"
"208","14","456","35"
"209","14","457","36"
"210","14","373","37"
"211","14","397","38"
"212","14","458","39"
"213","14","665","40"
"214","14","666","41"
"215","14","460","42"
"216","14","461","43"
"217","14","374","44"
"218","14","462","45"
"219","14","375","46"
"220","14","376","47"
"221","15","669","0"
"222","15","670","1"
"223","15","671","2"
"224","15","672","3"
"225","15","149","4"
"226","15","150","5"
"227","15","151","6"
"228","15","152","7"
"229","15","153","8"
"230","15","154","9"
"231","15","155","10"
"232","15","156","11"
"233","15","157","12"
"234","15","73","13"
"235","15","74","14"
"236","15","75","15"
"237","15","158","16"
"238","15","18","17"
"239","15","753","18"
"240","15","21","19"
"241","15","22","20"
"242","15","159","21"
"243","15","160","22"
"244","15","385","23"
"245","15","260","24"
"246","15","543","25"
"247","15","675","26"
"248","15","676","27"
"249","15","677","28"
"250","15","678","29"
"251","15","33","30"
"252","15","34","31"
"253","16","663","0"
"254","16","13","1"
"255","16","14","2"
"256","16","15","3"
"257","16","16","4"
"258","16","50","5"
"259","16","18","6"
"260","16","182","7"
"261","16","183","8"
"262","16","184","9"
"263","16","685","10"
"264","16","590","11"
"265","16","686","12"
"266","16","687","13"
"267","16","301","14"
"268","16","302","15"
"269","16","303","16"
"270","16","304","17"
"271","16","305","18"
"272","16","306","19"
"273","16","655","20"
"274","16","637","21"
"275","16","555","22"
"276","16","310","23"
"277","16","311","24"
"278","16","312","25"
"279","18","191","0"
"280","18","609","1"
"281","18","196","2"
"282","18","197","3"
"283","18","156","4"
"284","18","157","5"
"285","18","198","6"
"286","18","199","7"
"287","18","200","8"
"288","18","201","9"
"289","18","202","10"
"290","18","662","11"
"291","18","735","12"
"292","18","705","13"
"293","18","17","14"
"294","18","18","15"
"295","18","753","16"
"296","18","21","17"
"297","18","22","18"
"298","18","23","19"
"299","18","25","20"
"300","18","596","21"
"301","18","27","22"
"302","18","28","23"
"303","18","192","24"
"304","18","193","25"
"305","18","30","26"
"306","18","31","27"
"307","18","33","28"
"308","18","34","29"
"309","20","739","0"
"310","20","740","1"
"311","20","525","2"
"312","20","683","3"
"313","20","684","4"
"314","20","669","5"
"315","20","741","6"
"316","20","323","7"
"317","20","742","8"
"318","20","122","9"
"319","20","124","10"
"320","20","364","11"
"321","20","120","12"
"322","20","743","13"
"323","20","221","14"
